FILEDS PRESENT IN TABLES,TABLE NAME,DESCRIPTION
vehicle_damage_details,event_vehicle_details,
vehicle_damage_driver,event_vehicle_details,
vehicle_damage_regn_no,event_vehicle_details,
vehicle_damage_type,event_vehicle_details,
vehicle_damaged,event_vehicle_details,
vehicle_detailed_for,event_vehicle_details,
vehicle_pe_conducted,event_vehicle_details,
vehicle_pe_details,event_vehicle_details,
created_at,event_view_status,
created_by,event_view_status,
event_created_by,event_view_status,
event_id,event_view_status,
is_viewed,event_view_status,
sno,event_view_status,
created_at,eventassets,
createdby,eventassets,
event_id,eventassets,
file_path,eventassets,
file_type,eventassets,
photo_path,eventassets,
remarks,eventassets,
sno,eventassets,
updated_at,eventassets,
updated_by,eventassets,
created_at,eventfir,
createdby,eventfir,
event_id,eventfir,
fir_id,eventfir,
remarks,eventfir,
sno,eventfir,
updated_at,eventfir,
updatedby,eventfir,
aiming_point_used,eventied,
container_of_ied,eventied,
created_at,eventied,
created_by,eventied,
depth_of_burial,eventied,
desc_of_crator,eventied,
desc_of_spikes,eventied,
device_used_rx,eventied,
device_used_tx,eventied,
dimensions_of_creator,eventied,
distance_from_camp,eventied,
distance_from_camp_spike,eventied,
distanct_from_ied,eventied,
event_id,eventied,
ied_date_time,eventied,
ied_details,eventied,
ied_district,eventied,
ied_id,eventied,
ied_latitude,eventied,
ied_location,eventied,
ied_longitude,eventied,
ied_mode_of_detection,eventied,
ied_police_station,eventied,
ied_position,eventied,
ied_recovered_from,eventied,
ied_residual_item,eventied,
ied_state,eventied,
ied_status,eventied,
length_ied_wire,eventied,
length_of_wire,eventied,
mechanism_of_ied,eventied,
mode_disposal_of_ied,eventied,
no_of_ied,eventied,
no_of_spikes,eventied,
pattern_of_placcement,eventied,
quantity_of_ied,eventied,
sharpnels_used,eventied,
sno,eventied,
type_of_aligment,eventied,
type_of_detonator,eventied,
type_of_explosive,eventied,
type_of_terrain,eventied,
updated_at,eventied,
updated_by,eventied,
communication_control_station,eventinsurgentdetail,
created_at,eventinsurgentdetail,
createdby,eventinsurgentdetail,
event_id,eventinsurgentdetail,
insurgent_amount_demanded,eventinsurgentdetail,
insurgent_amount_demanded_from,eventinsurgentdetail,
insurgent_camp_strength,eventinsurgentdetail,
insurgent_camp_type,eventinsurgentdetail,
insurgent_communication_schedule,eventinsurgentdetail,
insurgent_communication_station,eventinsurgentdetail,
insurgent_communication_station_loc,eventinsurgentdetail,
insurgent_destination_of_infiltration,eventinsurgentdetail,
insurgent_detail_sat_mob,eventinsurgentdetail,
insurgent_email,eventinsurgentdetail,
insurgent_eqp_type,eventinsurgentdetail,
insurgent_foreign_agency,eventinsurgentdetail,
insurgent_freq_radio,eventinsurgentdetail,
insurgent_information_type,eventinsurgentdetail,
insurgent_leader_name,eventinsurgentdetail,
insurgent_location,eventinsurgentdetail,
insurgent_number_of_eqpt,eventinsurgentdetail,
insurgent_number_of_weapon,eventinsurgentdetail,
insurgent_orgname,eventinsurgentdetail,
insurgent_place_of_infiltration,eventinsurgentdetail,
insurgent_route_of_infiltration,eventinsurgentdetail,
insurgent_sat_mob_no,eventinsurgentdetail,
insurgent_specific_target,eventinsurgentdetail,
insurgent_topographical_detail,eventinsurgentdetail,
insurgent_traning_nature,eventinsurgentdetail,
insurgent_website,eventinsurgentdetail,
insurgent_wepons_type,eventinsurgentdetail,
insurjent_theatre,eventinsurgentdetail,
sno,eventinsurgentdetail,
updated_at,eventinsurgentdetail,
updatedby,eventinsurgentdetail,
created_at,eventorg,
createdby,eventorg,
event_id,eventorg,
org_id,eventorg,
remarks,eventorg,
sno,eventorg,
updated_at,eventorg,
updatedby,eventorg,
created_at,eventper,
createdby,eventper,
event_id,eventper,
p_id,eventper,
remarks,eventper,
sno,eventper,
updated_at,eventper,
updatedby,eventper,
address1,eventpropertydamaged,
address2,eventpropertydamaged,
affected_type,eventpropertydamaged,
approxvalue,eventpropertydamaged,
country,eventpropertydamaged,
created_at,eventpropertydamaged,
createdby,eventpropertydamaged,
description,eventpropertydamaged,
event_id,eventpropertydamaged,
financial_assistance,eventpropertydamaged,
financial_assistance_value,eventpropertydamaged,
force_no_of_driver,eventpropertydamaged,
name_of_driver,eventpropertydamaged,
property_type,eventpropertydamaged,
remarks,eventpropertydamaged,
sno,eventpropertydamaged,
state,eventpropertydamaged,
updated_at,eventpropertydamaged,
updatedby,eventpropertydamaged,
vehicle_model,eventpropertydamaged,
vehicle_number,eventpropertydamaged,
vehicle_type,eventpropertydamaged,
zipcode,eventpropertydamaged,
approxvalue,eventrecovery,
connivanceperson,eventrecovery,
counterpart,eventrecovery,
created_at,eventrecovery,
createdby,eventrecovery,
currency,eventrecovery,
description,eventrecovery,
event_id,eventrecovery,
handedto,eventrecovery,
isclaimed,eventrecovery,
isincoming,eventrecovery,
item_sub_type,eventrecovery,
item_type,eventrecovery,
modusoperandi,eventrecovery,
paymentmethod,eventrecovery,
quantity,eventrecovery,
quantity_kg,eventrecovery,
recipient,eventrecovery,
remarks,eventrecovery,
sno,eventrecovery,
updated_at,eventrecovery,
updatedby,eventrecovery,
created_at,eventrefrences,
created_by,eventrefrences,
created_by_unit,eventrefrences,
event_id,eventrefrences,
rel_event_id,eventrefrences,
remarks,eventrefrences,
sno,eventrefrences,
updated_at,eventrefrences,
updated_by,eventrefrences,
any_action_taken,events,
any_ir,events,
any_ops_launched,events,
breed_of_k9,events,
created_at,events,
created_by,events,
created_by_unit,events,
